ts,open,high,low,close
1760054400,0.8149,0.8151,0.8148,0.8148
1760054460,0.8148,0.815,0.8144,0.8149
1760054520,0.8149,0.8158,0.8148,0.8156
1760054580,0.8156,0.8159,0.8156,0.8158
1760054640,0.8158,0.8164,0.8153,0.8163
1760054700,0.8163,0.8165,0.8157,0.8158
1760054760,0.8158,0.8164,0.8158,0.8163
1760054820,0.8163,0.8163,0.814,0.8141
1760054880,0.8141,0.8147,0.8141,0.8143
1760054940,0.8143,0.8149,0.8143,0.8149
1760055000,0.8149,0.815,0.8146,0.8146
1760055060,0.8146,0.8148,0.8143,0.8144
1760055120,0.8144,0.8145,0.8141,0.8142
1760055180,0.8142,0.8146,0.8142,0.8146
1760055240,0.8146,0.8146,0.8139,0.8144
1760055300,0.8144,0.8151,0.8144,0.8148
1760055360,0.8148,0.8157,0.8148,0.8157
1760055420,0.8157,0.8166,0.8157,0.8159
1760055480,0.8159,0.8167,0.8158,0.8166
1760055540,0.8166,0.8166,0.8161,0.8163
1760055600,0.8163,0.8163,0.8158,0.8158
1760055660,0.8158,0.8159,0.8156,0.8159
1760055720,0.8159,0.8159,0.815,0.815
1760055780,0.815,0.815,0.8146,0.8148
1760055840,0.8148,0.8155,0.8148,0.8155
1760055900,0.8155,0.8155,0.815,0.8152
1760055960,0.8152,0.8164,0.8152,0.8163
1760056020,0.8163,0.8167,0.8163,0.8167
1760056080,0.8167,0.8169,0.8167,0.8169
1760056140,0.8169,0.817,0.8168,0.8169
1760056200,0.8169,0.817,0.8162,0.8162
1760056260,0.8162,0.8164,0.8158,0.8159
1760056320,0.8159,0.8161,0.8157,0.8158
1760056380,0.8158,0.8165,0.8158,0.8165
1760056440,0.8165,0.8165,0.816,0.816
1760056500,0.816,0.816,0.8154,0.8154
1760056560,0.8154,0.8157,0.8154,0.8156
1760056620,0.8156,0.8156,0.8151,0.8151
1760056680,0.8151,0.8162,0.8151,0.8162
1760056740,0.8162,0.8166,0.8162,0.8166
1760056800,0.8166,0.8166,0.8158,0.8159
1760056860,0.8159,0.8162,0.8159,0.8162
1760056920,0.8162,0.8163,0.8149,0.8151
1760056980,0.8151,0.8151,0.8149,0.8149
1760057040,0.8149,0.8153,0.8149,0.8151
1760057100,0.8151,0.8151,0.8144,0.8146
1760057160,0.8146,0.8146,0.8136,0.8136
1760057220,0.8136,0.8136,0.8131,0.8134
1760057280,0.8134,0.8135,0.8132,0.8135
1760057340,0.8135,0.8136,0.8131,0.8136
1760057400,0.8136,0.8143,0.8134,0.8143
1760057460,0.8143,0.8148,0.8143,0.8148
1760057520,0.8148,0.8149,0.8147,0.8148
1760057580,0.8148,0.8154,0.8148,0.8154
1760057640,0.8154,0.8158,0.8153,0.8154
1760057700,0.8154,0.8156,0.8152,0.8152
1760057760,0.8152,0.8152,0.8147,0.8147
1760057820,0.8147,0.8147,0.8142,0.8146
1760057880,0.8146,0.8149,0.8146,0.8147
1760057940,0.8147,0.815,0.8147,0.815
1760058000,0.815,0.8151,0.8143,0.8148
1760058060,0.8148,0.8159,0.8148,0.8159
1760058120,0.8159,0.8159,0.8156,0.8157
1760058180,0.8157,0.8164,0.8156,0.8164
1760058240,0.8164,0.8167,0.8161,0.8167
1760058300,0.8167,0.8169,0.816,0.8163
1760058360,0.8163,0.8166,0.8162,0.8162
1760058420,0.8162,0.8162,0.8151,0.8152
1760058480,0.8152,0.8156,0.8151,0.8151
1760058540,0.8151,0.8153,0.8151,0.8152
1760058600,0.8152,0.8158,0.8152,0.8155
1760058660,0.8155,0.8158,0.8155,0.8157
1760058720,0.8157,0.8162,0.8156,0.8156
1760058780,0.8156,0.8161,0.8156,0.816
1760058840,0.816,0.8162,0.816,0.8161
1760058900,0.8161,0.8161,0.8155,0.8155
1760058960,0.8155,0.8163,0.8155,0.8161
1760059020,0.8161,0.8164,0.8161,0.8161
1760059080,0.8161,0.8161,0.8157,0.8157
1760059140,0.8157,0.8159,0.8153,0.8159
1760059200,0.8159,0.8164,0.8159,0.8163
1760059260,0.8163,0.8163,0.8156,0.8156
1760059320,0.8156,0.8159,0.8156,0.8156
1760059380,0.8156,0.8156,0.8151,0.8152
1760059440,0.8152,0.8157,0.8151,0.8156
1760059500,0.8156,0.816,0.8156,0.8158
1760059560,0.8158,0.8159,0.8156,0.8156
1760059620,0.8156,0.8156,0.8155,0.8156
1760059680,0.8156,0.8164,0.8156,0.8162
1760059740,0.8162,0.8166,0.8162,0.8164
1760059800,0.8164,0.8165,0.8162,0.8162
1760059860,0.8162,0.8162,0.8155,0.8155
1760059920,0.8155,0.8157,0.8155,0.8155
1760059980,0.8155,0.816,0.8155,0.8159
1760060040,0.8159,0.8162,0.8159,0.8159
1760060100,0.8159,0.8159,0.8147,0.8147
1760060160,0.8147,0.8151,0.8145,0.8145
1760060220,0.8145,0.8148,0.8145,0.8146
1760060280,0.8146,0.8147,0.8144,0.8144
1760060340,0.8144,0.8149,0.8143,0.8145
1760060400,0.8145,0.8145,0.8137,0.8138
1760060460,0.8138,0.8139,0.8135,0.8138
1760060520,0.8138,0.8144,0.8136,0.8144
1760060580,0.8144,0.8145,0.8142,0.8144
1760060640,0.8144,0.8144,0.8138,0.8142
1760060700,0.8142,0.8143,0.8139,0.8142
1760060760,0.8142,0.8145,0.8139,0.8143
1760060820,0.8143,0.8146,0.8142,0.8142
1760060880,0.8142,0.8143,0.8141,0.8142
1760060940,0.8142,0.8146,0.8142,0.8145
1760061000,0.8145,0.8145,0.8137,0.8137
1760061060,0.8137,0.8146,0.8137,0.8146
1760061120,0.8146,0.8158,0.8146,0.8155
1760061180,0.8155,0.8158,0.8149,0.8149
1760061240,0.8149,0.8151,0.8148,0.8151
1760061300,0.8151,0.8153,0.8147,0.8147
1760061360,0.8147,0.8149,0.8147,0.8149
1760061420,0.8149,0.815,0.8147,0.8148
1760061480,0.8148,0.8153,0.8148,0.8152
1760061540,0.8152,0.8152,0.8149,0.8149
1760061600,0.8149,0.8151,0.8145,0.8146
1760061660,0.8146,0.8148,0.8143,0.8143
1760061720,0.8143,0.8143,0.8136,0.8137
1760061780,0.8137,0.814,0.8133,0.8134
1760061840,0.8134,0.8138,0.8133,0.8134
1760061900,0.8134,0.8134,0.8126,0.8127
1760061960,0.8127,0.8128,0.8122,0.8124
1760062020,0.8124,0.8124,0.8119,0.8119
1760062080,0.8119,0.8123,0.8118,0.8118
1760062140,0.8118,0.813,0.8118,0.813
1760062200,0.813,0.8132,0.8126,0.8126
1760062260,0.8126,0.813,0.8126,0.813
1760062320,0.813,0.8134,0.8128,0.8129
1760062380,0.8129,0.8135,0.8129,0.8132
1760062440,0.8132,0.8135,0.8132,0.8135
1760062500,0.8135,0.8141,0.8135,0.8138
1760062560,0.8138,0.8145,0.8138,0.8145
1760062620,0.8145,0.8147,0.8142,0.8146
1760062680,0.8146,0.8148,0.8146,0.8148
