ts,open,high,low,close
1760054400,28.379,28.41,28.375,28.392
1760054460,28.392,28.41,28.377,28.392
1760054520,28.392,28.411,28.392,28.409
1760054580,28.409,28.414,28.398,28.398
1760054640,28.398,28.405,28.387,28.393
1760054700,28.393,28.393,28.38,28.382
1760054760,28.382,28.395,28.375,28.393
1760054820,28.393,28.393,28.36,28.363
1760054880,28.363,28.366,28.352,28.352
1760054940,28.352,28.387,28.352,28.386
1760055000,28.386,28.395,28.37,28.37
1760055060,28.37,28.379,28.35,28.35
1760055120,28.35,28.35,28.338,28.338
1760055180,28.338,28.352,28.338,28.341
1760055240,28.341,28.359,28.321,28.359
1760055300,28.359,28.366,28.348,28.352
1760055360,28.352,28.367,28.349,28.367
1760055420,28.367,28.393,28.364,28.379
1760055480,28.379,28.395,28.375,28.395
1760055540,28.395,28.396,28.384,28.394
1760055600,28.394,28.394,28.377,28.379
1760055660,28.379,28.386,28.374,28.376
1760055720,28.376,28.38,28.352,28.352
1760055780,28.352,28.352,28.328,28.335
1760055840,28.335,28.353,28.335,28.353
1760055900,28.353,28.353,28.34,28.35
1760055960,28.35,28.382,28.35,28.375
1760056020,28.375,28.378,28.358,28.368
1760056080,28.368,28.393,28.358,28.393
1760056140,28.393,28.406,28.391,28.397
1760056200,28.397,28.401,28.377,28.377
1760056260,28.377,28.384,28.355,28.355
1760056320,28.355,28.359,28.34,28.345
1760056380,28.345,28.364,28.345,28.359
1760056440,28.359,28.362,28.358,28.36
1760056500,28.36,28.36,28.334,28.334
1760056560,28.334,28.344,28.333,28.336
1760056620,28.336,28.341,28.33,28.331
1760056680,28.331,28.367,28.33,28.366
1760056740,28.366,28.41,28.366,28.409
1760056800,28.409,28.409,28.393,28.397
1760056860,28.397,28.409,28.393,28.397
1760056920,28.397,28.4,28.359,28.372
1760056980,28.372,28.375,28.356,28.362
1760057040,28.362,28.379,28.362,28.374
1760057100,28.374,28.374,28.348,28.358
1760057160,28.358,28.358,28.338,28.341
1760057220,28.341,28.341,28.322,28.329
1760057280,28.329,28.342,28.32,28.335
1760057340,28.335,28.338,28.325,28.333
1760057400,28.333,28.346,28.327,28.346
1760057460,28.346,28.356,28.342,28.353
1760057520,28.353,28.353,28.346,28.349
1760057580,28.349,28.376,28.349,28.376
1760057640,28.376,28.397,28.376,28.397
1760057700,28.397,28.407,28.389,28.392
1760057760,28.392,28.393,28.382,28.384
1760057820,28.384,28.384,28.359,28.368
1760057880,28.368,28.382,28.368,28.378
1760057940,28.378,28.396,28.377,28.396
1760058000,28.396,28.396,28.376,28.394
1760058060,28.394,28.411,28.389,28.402
1760058120,28.402,28.41,28.4,28.408
1760058180,28.408,28.428,28.399,28.428
1760058240,28.428,28.458,28.428,28.455
1760058300,28.455,28.458,28.429,28.438
1760058360,28.438,28.449,28.38,28.38
1760058420,28.38,28.381,28.344,28.357
1760058480,28.357,28.372,28.357,28.36
1760058540,28.36,28.367,28.358,28.362
1760058600,28.362,28.375,28.36,28.37
1760058660,28.37,28.386,28.37,28.378
1760058720,28.378,28.395,28.378,28.379
1760058780,28.379,28.388,28.378,28.388
1760058840,28.388,28.394,28.369,28.369
1760058900,28.369,28.371,28.341,28.346
1760058960,28.346,28.377,28.346,28.371
1760059020,28.371,28.393,28.371,28.38
1760059080,28.38,28.386,28.366,28.366
1760059140,28.366,28.381,28.356,28.381
1760059200,28.381,28.402,28.381,28.382
1760059260,28.382,28.382,28.344,28.344
1760059320,28.344,28.362,28.344,28.35
1760059380,28.35,28.354,28.347,28.349
1760059440,28.349,28.365,28.346,28.361
1760059500,28.361,28.375,28.361,28.367
1760059560,28.367,28.372,28.357,28.364
1760059620,28.364,28.365,28.346,28.352
1760059680,28.352,28.376,28.352,28.375
1760059740,28.375,28.401,28.375,28.392
1760059800,28.392,28.399,28.379,28.384
1760059860,28.384,28.384,28.358,28.358
1760059920,28.358,28.361,28.347,28.347
1760059980,28.347,28.359,28.342,28.359
1760060040,28.359,28.369,28.355,28.361
1760060100,28.361,28.361,28.327,28.327
1760060160,28.327,28.334,28.312,28.317
1760060220,28.317,28.323,28.316,28.317
1760060280,28.317,28.321,28.311,28.311
1760060340,28.311,28.34,28.311,28.317
1760060400,28.317,28.323,28.308,28.32
1760060460,28.32,28.326,28.306,28.326
1760060520,28.326,28.353,28.316,28.353
1760060580,28.353,28.362,28.353,28.362
1760060640,28.362,28.362,28.331,28.337
1760060700,28.337,28.339,28.319,28.325
1760060760,28.325,28.343,28.325,28.332
1760060820,28.332,28.353,28.331,28.345
1760060880,28.345,28.35,28.339,28.34
1760060940,28.34,28.362,28.335,28.335
1760061000,28.335,28.336,28.306,28.317
1760061060,28.317,28.348,28.317,28.348
1760061120,28.348,28.382,28.348,28.369
1760061180,28.369,28.37,28.332,28.332
1760061240,28.332,28.34,28.331,28.339
1760061300,28.339,28.35,28.33,28.33
1760061360,28.33,28.33,28.313,28.324
1760061420,28.324,28.331,28.323,28.323
1760061480,28.323,28.351,28.319,28.341
1760061540,28.341,28.359,28.334,28.351
1760061600,28.351,28.375,28.343,28.348
1760061660,28.348,28.357,28.342,28.342
1760061720,28.342,28.342,28.32,28.327
1760061780,28.327,28.344,28.322,28.329
1760061840,28.329,28.343,28.32,28.32
1760061900,28.32,28.333,28.307,28.317
1760061960,28.317,28.329,28.312,28.32
1760062020,28.32,28.335,28.307,28.311
1760062080,28.311,28.325,28.311,28.315
1760062140,28.315,28.339,28.306,28.334
1760062200,28.334,28.359,28.33,28.35
1760062260,28.35,28.357,28.345,28.354
1760062320,28.354,28.364,28.329,28.329
1760062380,28.329,28.362,28.324,28.344
1760062440,28.344,28.354,28.344,28.354
1760062500,28.354,28.355,28.337,28.346
1760062560,28.346,28.369,28.34,28.369
1760062620,28.369,28.374,28.341,28.365
1760062680,28.365,28.377,28.364,28.375
1760062740,28.375,28.423,28.375,28.411
1760062800,28.411,28.454,28.404,28.427
1760062860,28.427,28.47,28.421,28.455
1760062920,28.455,28.463,28.429,28.444
1760062980,28.444,28.46,28.444,28.46
1760063040,28.46,28.462,28.429,28.441
1760063100,28.441,28.442,28.427,28.428
1760063160,28.428,28.43,28.412,28.421
1760063220,28.421,28.427,28.41,28.417
1760063280,28.417,28.417,28.396,28.4
1760063340,28.4,28.401,28.392,28.394
1760063400,28.394,28.397,28.364,28.364
1760063460,28.364,28.364,28.323,28.332
1760063520,28.332,28.34,28.318,28.326
1760063580,28.326,28.331,28.306,28.318
1760063640,28.318,28.332,28.316,28.321
1760063700,28.321,28.327,28.292,28.32
1760063760,28.32,28.326,28.315,28.326
1760063820,28.326,28.354,28.326,28.354
1760063880,28.354,28.362,28.342,28.362
1760063940,28.362,28.386,28.36,28.363
1760064000,28.363,28.366,28.347,28.353
1760064060,28.353,28.358,28.342,28.358
1760064120,28.358,28.367,28.341,28.341
1760064180,28.341,28.345,28.305,28.324
1760064240,28.324,28.339,28.302,28.334
1760064300,28.334,28.336,28.323,28.323
1760064360,28.323,28.323,28.293,28.304
1760064420,28.304,28.313,28.286,28.311
1760064480,28.311,28.341,28.308,28.341
1760064540,28.341,28.349,28.336,28.337
1760064600,28.337,28.373,28.337,28.361
1760064660,28.361,28.365,28.296,28.301
1760064720,28.301,28.318,28.291,28.298
1760064780,28.298,28.308,28.269,28.307
1760064840,28.307,28.329,28.291,28.329
1760064900,28.329,28.351,28.327,28.336
1760064960,28.336,28.353,28.317,28.32
1760065020,28.32,28.348,28.32,28.329
1760065080,28.329,28.348,28.329,28.341
1760065140,28.341,28.356,28.341,28.356
1760065200,28.356,28.366,28.347,28.347
1760065260,28.347,28.359,28.315,28.315
1760065320,28.315,28.316,28.283,28.284
1760065380,28.284,28.287,28.268,28.275
1760065440,28.275,28.284,28.257,28.266
1760065500,28.266,28.297,28.245,28.294
1760065560,28.294,28.308,28.288,28.303
1760065620,28.303,28.311,28.286,28.296
1760065680,28.296,28.296,28.276,28.286
1760065740,28.286,28.29,28.276,28.284
1760065800,28.284,28.287,28.268,28.268
1760065860,28.268,28.295,28.254,28.295
1760065920,28.295,28.316,28.294,28.316
1760065980,28.316,28.316,28.304,28.31
1760066040,28.31,28.31,28.3,28.307
1760066100,28.307,28.312,28.287,28.29
1760066160,28.29,28.295,28.272,28.294
1760066220,28.294,28.298,28.284,28.293
1760066280,28.293,28.306,28.291,28.306
1760066340,28.306,28.322,28.29,28.319
1760066400,28.319,28.332,28.315,28.331
1760066460,28.331,28.341,28.307,28.317
1760066520,28.317,28.319,28.297,28.297
1760066580,28.297,28.308,28.281,28.305
1760066640,28.305,28.318,28.295,28.318
1760066700,28.318,28.337,28.31,28.312
1760066760,28.312,28.322,28.304,28.31
1760066820,28.31,28.377,28.31,28.368
1760066880,28.368,28.432,28.366,28.427
1760066940,28.427,28.467,28.422,28.459
1760067000,28.459,28.527,28.459,28.484
1760067060,28.484,28.517,28.484,28.512
1760067120,28.512,28.527,28.475,28.497
1760067180,28.497,28.537,28.494,28.502
1760067240,28.502,28.557,28.501,28.548
1760067300,28.548,28.563,28.517,28.518
1760067360,28.518,28.521,28.493,28.496
1760067420,28.496,28.523,28.496,28.502
1760067480,28.502,28.505,28.483,28.491
1760067540,28.491,28.514,28.491,28.504
1760067600,28.504,28.51,28.482,28.493
1760067660,28.493,28.509,28.484,28.496
1760067720,28.496,28.519,28.488,28.49
1760067780,28.49,28.5,28.479,28.48
1760067840,28.48,28.498,28.466,28.498
1760067900,28.498,28.52,28.498,28.514
1760067960,28.514,28.525,28.494,28.509
1760068020,28.509,28.54,28.508,28.531
