ts,open,high,low,close
1760054400,121603,121677.6,121603,121624.2
1760054460,121624.2,121663.1,121616,121663.1
1760054520,121663.1,121720.1,121663,121711.6
1760054580,121711.6,121719.9,121684.7,121684.7
1760054640,121684.7,121684.8,121650.1,121650.1
1760054700,121650.1,121650.1,121593.5,121600.5
1760054760,121600.5,121607.3,121587,121607.2
1760054820,121607.2,121607.2,121542.6,121554.4
1760054880,121554.4,121594.7,121554.4,121594.6
1760054940,121594.6,121682.6,121594.6,121660.7
1760055000,121660.7,121677.7,121635.5,121635.5
1760055060,121635.5,121635.6,121608.3,121608.9
1760055120,121608.9,121608.9,121572.6,121575.7
1760055180,121575.7,121613.4,121575.6,121613.4
1760055240,121613.4,121620,121577.7,121620
1760055300,121620,121704.5,121619.9,121653.4
1760055360,121653.4,121680,121648.4,121679.9
1760055420,121679.9,121719.8,121679.8,121686.2
1760055480,121686.2,121735.2,121679.8,121706.8
1760055540,121706.8,121723.1,121684.3,121706.1
1760055600,121706.1,121719.4,121675.1,121675.2
1760055660,121675.2,121681.2,121675.2,121681.2
1760055720,121681.2,121700,121670.1,121670.1
1760055780,121670.1,121689.4,121658.8,121689.4
1760055840,121689.4,121737.3,121689.4,121735.1
1760055900,121735.1,121735.2,121683.4,121724.6
1760055960,121724.6,121829.2,121724.5,121790.1
1760056020,121790.1,121835.9,121790,121818.6
1760056080,121818.6,121839.7,121802.5,121820
1760056140,121820,121841.7,121814.7,121830
1760056200,121830,121830,121800,121800.1
1760056260,121800.1,121800.1,121772.4,121772.4
1760056320,121772.4,121784.8,121741.7,121757.5
1760056380,121757.5,121786.2,121757.5,121786.2
1760056440,121786.2,121786.2,121748.3,121761
1760056500,121761,121761,121719,121729.8
1760056560,121729.8,121757.3,121729.8,121730.9
1760056620,121730.9,121731,121696.3,121696.3
1760056680,121696.3,121755.1,121696.3,121742.2
1760056740,121742.2,121757.4,121742.1,121747.2
1760056800,121747.2,121747.2,121719.8,121719.8
1760056860,121719.8,121747.9,121717.4,121720
1760056920,121720,121720,121671.7,121685.7
1760056980,121685.7,121691.6,121667.6,121667.6
1760057040,121667.6,121676.9,121667.5,121676.7
1760057100,121676.7,121676.7,121628.6,121628.7
1760057160,121628.7,121628.8,121592,121592
1760057220,121592,121599.9,121585,121599.9
1760057280,121599.9,121624.4,121585,121624.3
1760057340,121624.3,121624.4,121588.7,121616.4
1760057400,121616.4,121685.7,121616.4,121683.2
1760057460,121683.2,121683.2,121683.1,121683.1
1760057520,121683.1,121687.1,121673.9,121674
1760057580,121674,121751.2,121673.9,121751.1
1760057640,121751.1,121782.1,121734.1,121741.6
1760057700,121741.6,121786,121722,121750.2
1760057760,121750.2,121750.3,121721.7,121721.7
1760057820,121721.7,121721.8,121706,121706.1
1760057880,121706.1,121709.6,121703.7,121709.6
1760057940,121709.6,121709.6,121702,121709.6
1760058000,121709.6,121741.1,121690.1,121741.1
1760058060,121741.1,121765.4,121741,121765.3
1760058120,121765.3,121790.4,121765.3,121790.4
1760058180,121790.4,121819.6,121770.6,121819.6
1760058240,121819.6,121819.6,121776.6,121818.5
1760058300,121818.5,121849.7,121802.6,121808.1
1760058360,121808.1,121821.9,121785,121785
1760058420,121785,121785,121730,121744
1760058480,121744,121744,121707.5,121707.5
1760058540,121707.5,121707.6,121690,121699.9
1760058600,121699.9,121759.6,121699.9,121748.7
1760058660,121748.7,121759.6,121732.5,121732.6
1760058720,121732.6,121764,121732.5,121746.1
1760058780,121746.1,121764,121746,121763.9
1760058840,121763.9,121790,121763.9,121773.6
1760058900,121773.6,121773.6,121714.6,121714.6
1760058960,121714.6,121776.5,121714.6,121758.1
1760059020,121758.1,121773,121743.3,121743.4
1760059080,121743.4,121743.4,121720,121720.3
1760059140,121720.3,121720.3,121678.4,121719.3
1760059200,121719.3,121755.5,121719.2,121721.4
1760059260,121721.4,121721.5,121670,121670
1760059320,121670,121684.1,121666.7,121666.7
1760059380,121666.7,121666.8,121633.8,121633.8
1760059440,121633.8,121673.6,121620.8,121673.6
1760059500,121673.6,121746,121673.5,121732.2
1760059560,121732.2,121732.2,121701.4,121701.5
1760059620,121701.5,121713.6,121685.6,121713.6
1760059680,121713.6,121762.1,121713.6,121747.4
1760059740,121747.4,121800.1,121747.4,121800
1760059800,121800,121800.1,121790,121790
1760059860,121790,121790.1,121780.5,121780.5
1760059920,121780.5,121780.6,121757.8,121757.8
1760059980,121757.8,121790,121757.8,121790
1760060040,121790,121800,121789.9,121799.9
1760060100,121799.9,121799.9,121721.8,121721.8
1760060160,121721.8,121721.9,121660.6,121660.6
1760060220,121660.6,121660.7,121636.7,121636.7
1760060280,121636.7,121636.8,121620.7,121620.7
1760060340,121620.7,121655.7,121606.7,121606.7
1760060400,121606.7,121606.8,121515.5,121516
1760060460,121516,121525.5,121452.8,121499.4
1760060520,121499.4,121554,121479.3,121553.9
1760060580,121553.9,121560,121553.9,121560
1760060640,121560,121560,121526.6,121547.7
1760060700,121547.7,121559.4,121520.7,121543.1
1760060760,121543.1,121557.2,121528.2,121546.8
1760060820,121546.8,121546.8,121546.7,121546.8
1760060880,121546.8,121546.8,121530,121543.1
1760060940,121543.1,121578.9,121543.1,121561.9
1760061000,121561.9,121562,121531.9,121538.4
1760061060,121538.4,121568.2,121510,121568.2
1760061120,121568.2,121672.6,121568.1,121672.6
1760061180,121672.6,121694.6,121580.7,121580.7
1760061240,121580.7,121628.1,121580.7,121628.1
1760061300,121628.1,121658,121614.4,121614.4
1760061360,121614.4,121650.7,121607.5,121650.6
1760061420,121650.6,121650.7,121624.1,121629.2
1760061480,121629.2,121662,121629.2,121631.4
1760061540,121631.4,121654.2,121602.6,121609
1760061600,121609,121632.1,121531.9,121542
1760061660,121542,121563.6,121467.3,121487.2
1760061720,121487.2,121487.3,121400.4,121411.5
1760061780,121411.5,121448,121375.1,121426.3
1760061840,121426.3,121466.4,121404.4,121423.2
1760061900,121423.2,121448,121396.5,121410.3
1760061960,121410.3,121412.2,121331.8,121358.1
1760062020,121358.1,121358.2,121227.3,121257.7
1760062080,121257.7,121294,121218.4,121218.4
1760062140,121218.4,121326.5,121212.7,121304.5
1760062200,121304.5,121316,121257.9,121299.9
1760062260,121299.9,121341.8,121299.9,121339.2
1760062320,121339.2,121344.3,121250,121250
1760062380,121250,121301.5,121234.3,121238.1
1760062440,121238.1,121260.2,121238.1,121260.1
1760062500,121260.1,121293,121245.7,121245.7
1760062560,121245.7,121291.9,121245.7,121291.9
1760062620,121291.9,121295,121265.5,121294.9
1760062680,121294.9,121300.1,121284.4,121300.1
1760062740,121300.1,121355.7,121300.1,121355.7
1760062800,121355.7,121364.3,121340.6,121364.3
1760062860,121364.3,121370,121347.2,121356.6
1760062920,121356.6,121356.7,121347,121347.1
1760062980,121347.1,121363.4,121333.8,121363.3
1760063040,121363.3,121387.3,121284.5,121297.1
1760063100,121297.1,121297.2,121279.1,121279.2
1760063160,121279.2,121279.2,121222,121261.6
1760063220,121261.6,121318.8,121261.6,121318.8
1760063280,121318.8,121339.1,121318.8,121339.1
1760063340,121339.1,121341.8,121339,121341.8
1760063400,121341.8,121350,121302.6,121302.7
1760063460,121302.7,121302.7,121252.2,121283.5
1760063520,121283.5,121283.6,121180,121189.7
1760063580,121189.7,121202.8,121120.2,121155.5
1760063640,121155.5,121155.5,121111,121111
1760063700,121111,121136.9,121102,121102
1760063760,121102,121102.1,121087.6,121092.8
1760063820,121092.8,121126,121079.6,121080.2
1760063880,121080.2,121119.6,121027,121119.6
1760063940,121119.6,121201.5,121119.6,121201.5
1760064000,121201.5,121211.9,121199.6,121199.7
1760064060,121199.7,121220.7,121199.7,121220.7
1760064120,121220.7,121299.9,121220.7,121288.2
1760064180,121288.2,121288.2,121208.4,121223.1
1760064240,121223.1,121243.6,121193.3,121193.3
1760064300,121193.3,121228.7,121193.3,121228.6
1760064360,121228.6,121228.6,121143.5,121148.2
1760064420,121148.2,121191.1,121124.7,121185.2
1760064480,121185.2,121251.9,121185.2,121251.9
1760064540,121251.9,121260,121234.7,121234.7
1760064600,121234.7,121260,121211.4,121250.2
1760064660,121250.2,121253.2,121183.6,121183.6
1760064720,121183.6,121203.9,121081.5,121081.5
1760064780,121081.5,121083.1,120984.8,120995.2
1760064840,120995.2,121012.3,120882,120949.4
1760064900,120949.4,121030.2,120949.3,121030.2
1760064960,121030.2,121036.4,121005.8,121025.9
1760065020,121025.9,121071,121025.9,121050.8
1760065080,121050.8,121079.8,121035,121056.4
1760065140,121056.4,121056.5,121034.7,121040.4
1760065200,121040.4,121093.1,121040.4,121060.8
1760065260,121060.8,121081.2,121028.9,121028.9
1760065320,121028.9,121029,120994,121010
1760065380,121010,121010.1,120958.9,120962.8
1760065440,120962.8,120968.9,120913.8,120919.6
1760065500,120919.6,120992.4,120888.8,120992.4
1760065560,120992.4,121010.7,120966.1,120983.6
1760065620,120983.6,120983.6,120926.2,120972.7
1760065680,120972.7,120972.8,120936.4,120949.3
1760065740,120949.3,120949.4,120945,120949.4
1760065800,120949.4,120999.9,120935.6,120970.9
1760065860,120970.9,120990,120939.1,120989.9
1760065920,120989.9,121000,120956.5,120999.9
1760065980,120999.9,121000,120957.3,120989.4
1760066040,120989.4,121117.1,120974.8,121083.2
1760066100,121083.2,121153.4,121083.2,121137.7
1760066160,121137.7,121137.8,121067,121113.6
1760066220,121113.6,121136.9,121095,121108.7
1760066280,121108.7,121136.8,121108.7,121136.8
1760066340,121136.8,121200.9,121128.2,121200.9
1760066400,121200.9,121294.6,121200.8,121294.4
1760066460,121294.4,121340,121286.5,121340
1760066520,121340,121350,121304,121304
1760066580,121304,121304,121277.6,121277.6
1760066640,121277.6,121340.3,121268.1,121340.3
1760066700,121340.3,121375,121340.2,121358.1
1760066760,121358.1,121398,121303.1,121303.1
1760066820,121303.1,121366.4,121291.7,121366.4
1760066880,121366.4,121390.8,121332.8,121368.4
1760066940,121368.4,121427.9,121368.4,121403.3
1760067000,121403.3,121497.9,121403.2,121446.2
1760067060,121446.2,121491.5,121437.1,121480
1760067120,121480,121500,121421.8,121421.9
1760067180,121421.9,121471.4,121421.9,121431.6
1760067240,121431.6,121457.5,121394.9,121402.3
1760067300,121402.3,121481.9,121402.3,121472.9
1760067360,121472.9,121481.9,121437.6,121476
1760067420,121476,121500,121450.2,121450.8
1760067480,121450.8,121473.8,121442,121465.5
1760067540,121465.5,121480,121450.1,121470.7
1760067600,121470.7,121509.7,121444.8,121493.7
1760067660,121493.7,121497.6,121450.6,121482
1760067720,121482,121511.5,121467.6,121469.1
1760067780,121469.1,121481.5,121463.5,121472.1
1760067840,121472.1,121488.4,121466.1,121483.3
1760067900,121483.3,121536,121478.8,121524.6
1760067960,121524.6,121548.3,121477.6,121534.9
1760068020,121534.9,121535,121521.1,121526.9
1760068080,121526.9,121548.3,121513.4,121540
1760068140,121540,121540,121461.1,121464.7
1760068200,121464.7,121466.4,121408.2,121410.2
1760068260,121410.2,121422.3,121290.6,121334.9
1760068320,121334.9,121335,121266,121278.5
1760068380,121278.5,121319.4,121235.8,121248
1760068440,121248,121248,121208.8,121208.8
1760068500,121208.8,121208.9,121106,121125.3
1760068560,121125.3,121143,121099.8,121131.1
1760068620,121131.1,121131.1,121051.4,121085.9
1760068680,121085.9,121090.3,121056.3,121056.5
1760068740,121056.5,121056.5,121001.7,121001.7
1760068800,121001.7,121092.1,121001.3,121035.3
1760068860,121035.3,121127.6,121035.3,121098
1760068920,121098,121098,121032.7,121059.2
1760068980,121059.2,121066.7,121030.1,121051.8
1760069040,121051.8,121089.8,121028.4,121078.8
1760069100,121078.8,121191.1,121078.7,121174.6
1760069160,121174.6,121220.7,121165.2,121219.1
1760069220,121219.1,121273.2,121216.1,121251.7
1760069280,121251.7,121330.7,121251.6,121273.6
1760069340,121273.6,121319.6,121250.1,121250.1
1760069400,121250.1,121255.4,121206,121255.4
1760069460,121255.4,121255.4,121214.3,121219.7
1760069520,121219.7,121284,121219.7,121275
1760069580,121275,121366.2,121232,121350.9
1760069640,121350.9,121366.2,121322.6,121335.2
1760069700,121335.2,121347.5,121311.9,121324.5
1760069760,121324.5,121326.3,121292,121292
1760069820,121292,121304.8,121270.2,121272.7
1760069880,121272.7,121292.7,121230,121230
1760069940,121230,121239.9,121143.6,121206.2
1760070000,121206.2,121283.8,121198,121283.7
1760070060,121283.7,121307.5,121258.2,121279.4
1760070120,121279.4,121330.5,121279.3,121296.6
1760070180,121296.6,121309.8,121250.1,121250.1
1760070240,121250.1,121273,121212,121212.1
1760070300,121212.1,121229.9,121205.7,121229.8
1760070360,121229.8,121244.3,121224.6,121243.7
1760070420,121243.7,121250,121233.9,121241.5
1760070480,121241.5,121250,121240.6,121240.7
1760070540,121240.7,121262.8,121240.7,121256.1
1760070600,121256.1,121277,121254.7,121262.2
1760070660,121262.2,121329.4,121262.2,121329.4
1760070720,121329.4,121329.4,121284.1,121284.2
1760070780,121284.2,121284.2,121156,121156.1
1760070840,121156.1,121191.3,121146,121191.3
1760070900,121191.3,121213.3,121117.7,121117.7
1760070960,121117.7,121117.8,121071.4,121088.8
1760071020,121088.8,121104.2,121069.7,121090.7
1760071080,121090.7,121090.8,121066.6,121070.4
1760071140,121070.4,121076.6,121032,121061.6
1760071200,121061.6,121120.5,121053.3,121117.6
1760071260,121117.6,121132.7,121083.5,121083.6
1760071320,121083.6,121096.7,121054.7,121096.7
1760071380,121096.7,121102.1,121079.1,121084.3
1760071440,121084.3,121120,121079.6,121120
1760071500,121120,121121,121093.2,121105.8
1760071560,121105.8,121186.1,121101.1,121110.2
1760071620,121110.2,121145.7,121110.2,121142.2
1760071680,121142.2,121159,121127.3,121159
1760071740,121159,121178.9,121159,121178.8
1760071800,121178.8,121191.2,121165.5,121191.2
1760071860,121191.2,121200,121190.5,121190.5
1760071920,121190.5,121196,121184,121192.7
1760071980,121192.7,121251,121192.6,121234.2
1760072040,121234.2,121250,121234.2,121241.5
1760072100,121241.5,121241.6,121189.5,121189.5
1760072160,121189.5,121209.9,121189.5,121202.6
1760072220,121202.6,121258,121202.5,121258
1760072280,121258,121258,121208.1,121224.6
1760072340,121224.6,121228,121210.1,121210.3
1760072400,121210.3,121219.5,121150,121160.1
1760072460,121160.1,121184.3,121160,121170
1760072520,121170,121170,121129.2,121136.4
1760072580,121136.4,121136.4,121089.9,121089.9
1760072640,121089.9,121090,121000,121014.8
1760072700,121014.8,121023.9,120955,121009.4
1760072760,121009.4,121046,120985.5,121045.9
1760072820,121045.9,121100,121029.3,121093.4
1760072880,121093.4,121093.4,121060.7,121062.8
1760072940,121062.8,121062.8,121026.4,121026.4
1760073000,121026.4,121039.1,121002.8,121029.4
1760073060,121029.4,121058.3,121029.3,121050.9
1760073120,121050.9,121068,121050.9,121067.9
1760073180,121067.9,121100,121067.9,121096.9
1760073240,121096.9,121096.9,121075.6,121075.6
1760073300,121075.6,121128.4,121065.2,121124.8
1760073360,121124.8,121131.7,121098.5,121098.5
1760073420,121098.5,121141.2,121098.5,121141.1
1760073480,121141.1,121151.1,121130.2,121141.5
1760073540,121141.5,121141.5,121128.1,121129.3
1760073600,121129.3,121172.6,121129.3,121172.5
1760073660,121172.5,121213.6,121172.5,121206.1
1760073720,121206.1,121233.9,121206.1,121230.1
1760073780,121230.1,121354.7,121230.1,121354.7
1760073840,121354.7,121421.1,121338.1,121421
1760073900,121421,121421.1,121405,121416.6
1760073960,121416.6,121482.5,121410,121410
1760074020,121410,121410,121360.3,121360.3
1760074080,121360.3,121364.7,121316.2,121332.9
1760074140,121332.9,121351.5,121332.9,121340
1760074200,121340,121340,121310.3,121310.3
1760074260,121310.3,121353.5,121288.8,121325.7
1760074320,121325.7,121325.8,121198.8,121198.8
1760074380,121198.8,121243.2,121197.6,121228.9
1760074440,121228.9,121241.6,121187.4,121187.5
1760074500,121187.5,121233.2,121180,121205.4
1760074560,121205.4,121232.2,121180,121232.2
1760074620,121232.2,121267.6,121232.1,121260.1
1760074680,121260.1,121289.4,121260,121281.7
1760074740,121281.7,121281.7,121281.6,121281.7
1760074800,121281.7,121353.8,121281.7,121353.8
1760074860,121353.8,121392.6,121353.8,121392.6
1760074920,121392.6,121405.6,121392.5,121405.6
1760074980,121405.6,121424.1,121400,121417.8
1760075040,121417.8,121417.9,121417.8,121417.8
1760075100,121417.8,121475.5,121417.8,121475.4
1760075160,121475.4,121543.9,121475.4,121514.4
1760075220,121514.4,121514.4,121480.7,121494
1760075280,121494,121537,121491.1,121528.5
1760075340,121528.5,121528.5,121475,121475.1
1760075400,121475.1,121514.5,121475,121514.5
1760075460,121514.5,121521.5,121490.1,121499
1760075520,121499,121509.5,121468.8,121509.5
1760075580,121509.5,121514.8,121487.4,121509.9
1760075640,121509.9,121578.3,121488.9,121578.3
1760075700,121578.3,121584.8,121530,121535
1760075760,121535,121564.6,121520.1,121553
1760075820,121553,121560,121541.1,121560
1760075880,121560,121579.7,121543.2,121543.3
1760075940,121543.3,121544.3,121543.2,121544.3
1760076000,121544.3,121594.6,121533.1,121582.9
1760076060,121582.9,121582.9,121554.4,121560
1760076120,121560,121643.9,121560,121633.9
1760076180,121633.9,121633.9,121572.3,121590.6
1760076240,121590.6,121633.8,121581,121633.8
1760076300,121633.8,121689.6,121633,121684
1760076360,121684,121684,121662.5,121662.5
1760076420,121662.5,121725.1,121660,121697
1760076480,121697,121716,121666.8,121713
1760076540,121713,121740,121629.2,121629.2
1760076600,121629.2,121649.7,121568.5,121568.5
1760076660,121568.5,121568.5,121529.9,121542
1760076720,121542,121557.6,121540.9,121540.9
1760076780,121540.9,121551.8,121520,121520
1760076840,121520,121549.7,121505.4,121544.9
1760076900,121544.9,121623.6,121544.9,121608.4
1760076960,121608.4,121632.8,121568.3,121581.6
1760077020,121581.6,121620,121581.6,121588.3
1760077080,121588.3,121650,121575.4,121634.8
1760077140,121634.8,121642.5,121577.4,121582.4
1760077200,121582.4,121618.8,121530.3,121591.8
1760077260,121591.8,121629,121591.7,121607.5
1760077320,121607.5,121628.2,121599.1,121628.2
1760077380,121628.2,121628.2,121590.4,121600
1760077440,121600,121600,121565.3,121565.3
1760077500,121565.3,121588,121559.5,121587.9
1760077560,121587.9,121589.7,121555.1,121555.1
1760077620,121555.1,121555.2,121530.8,121531.7
1760077680,121531.7,121545.6,121480.7,121480.8
1760077740,121480.8,121506.1,121480,121496.7
1760077800,121496.7,121553.3,121461.6,121469.2
1760077860,121469.2,121503.8,121467.6,121467.6
1760077920,121467.6,121486,121467.6,121467.6
1760077980,121467.6,121518.5,121467.6,121508.6
1760078040,121508.6,121600,121508.6,121599.9
1760078100,121599.9,121600,121502.9,121528
1760078160,121528,121538.4,121475.1,121475.1
1760078220,121475.1,121523.2,121455,121462.3
1760078280,121462.3,121513,121438,121488.5
1760078340,121488.5,121549.9,121488.5,121549.9
1760078400,121549.9,121610,121549.9,121610
1760078460,121610,121666.4,121609.9,121666.4
1760078520,121666.4,121683.4,121653.5,121672.3
1760078580,121672.3,121699.1,121666.1,121670.1
1760078640,121670.1,121670.1,121607.5,121629
1760078700,121629,121694.4,121629,121693.3
1760078760,121693.3,121700,121650.6,121654.8
1760078820,121654.8,121667.4,121624.1,121635.2
1760078880,121635.2,121644.9,121581.9,121583.4
1760078940,121583.4,121583.5,121463.5,121463.6
1760079000,121463.6,121476.1,121381.3,121381.3
1760079060,121381.3,121381.4,121250,121265.6
1760079120,121265.6,121269.1,121200.1,121226.7
