ts,open,high,low,close
1760054400,0.24843,0.24857,0.24834,0.24838
1760054460,0.24838,0.24857,0.24824,0.24848
1760054520,0.24848,0.24882,0.24845,0.24875
1760054580,0.24875,0.24886,0.2487,0.24876
1760054640,0.24876,0.24893,0.24856,0.24881
1760054700,0.24881,0.24885,0.24851,0.24851
1760054760,0.24851,0.24857,0.24833,0.24851
1760054820,0.24851,0.24852,0.24819,0.24827
1760054880,0.24827,0.24859,0.24822,0.2485
1760054940,0.2485,0.24866,0.24847,0.24863
1760055000,0.24863,0.24872,0.24849,0.24849
1760055060,0.24849,0.24862,0.24832,0.24832
1760055120,0.24832,0.2484,0.24821,0.24821
1760055180,0.24821,0.24851,0.24821,0.2485
1760055240,0.2485,0.24854,0.2483,0.24853
1760055300,0.24853,0.24886,0.24852,0.24868
1760055360,0.24868,0.24902,0.24863,0.24892
1760055420,0.24892,0.24924,0.2489,0.2491
1760055480,0.2491,0.24924,0.2491,0.24921
1760055540,0.24921,0.24924,0.24902,0.24909
1760055600,0.24909,0.24924,0.24908,0.2491
1760055660,0.2491,0.24926,0.2491,0.24912
1760055720,0.24912,0.24921,0.24903,0.24903
1760055780,0.24903,0.24929,0.24902,0.24929
1760055840,0.24929,0.24949,0.24925,0.24942
1760055900,0.24942,0.24942,0.24917,0.24941
1760055960,0.24941,0.2497,0.24941,0.24958
1760056020,0.24958,0.24973,0.24958,0.24966
1760056080,0.24966,0.24979,0.24961,0.24975
1760056140,0.24975,0.24979,0.24969,0.24976
1760056200,0.24976,0.24983,0.24962,0.24962
1760056260,0.24962,0.24972,0.24938,0.24938
1760056320,0.24938,0.24945,0.24923,0.24929
1760056380,0.24929,0.24948,0.24929,0.24942
1760056440,0.24942,0.24942,0.24916,0.24916
1760056500,0.24916,0.24919,0.24892,0.24893
1760056560,0.24893,0.24912,0.24893,0.24901
1760056620,0.24901,0.24903,0.24883,0.24884
1760056680,0.24884,0.24922,0.24884,0.24918
1760056740,0.24918,0.24955,0.24918,0.24954
1760056800,0.24954,0.24955,0.24924,0.2493
1760056860,0.2493,0.24947,0.24929,0.24937
1760056920,0.24937,0.24937,0.24881,0.24893
1760056980,0.24893,0.24897,0.2488,0.24881
1760057040,0.24881,0.24899,0.24881,0.24893
1760057100,0.24893,0.24893,0.24873,0.24873
1760057160,0.24873,0.24873,0.24839,0.24842
1760057220,0.24842,0.24844,0.24825,0.24829
1760057280,0.24829,0.24829,0.24813,0.24813
1760057340,0.24813,0.24815,0.24775,0.2479
1760057400,0.2479,0.24829,0.24784,0.24829
1760057460,0.24829,0.24838,0.24817,0.24838
1760057520,0.24838,0.24847,0.24829,0.24841
1760057580,0.24841,0.24879,0.24841,0.24879
1760057640,0.24879,0.24888,0.24873,0.24882
1760057700,0.24882,0.2489,0.24877,0.24877
1760057760,0.24877,0.2488,0.24844,0.24844
1760057820,0.24844,0.24855,0.2483,0.24846
1760057880,0.24846,0.24879,0.24846,0.24874
1760057940,0.24874,0.2489,0.2487,0.24889
1760058000,0.24889,0.24906,0.24874,0.24906
1760058060,0.24906,0.24943,0.24906,0.2493
1760058120,0.2493,0.24939,0.24914,0.24931
1760058180,0.24931,0.24969,0.24931,0.24969
1760058240,0.24969,0.2499,0.2496,0.24989
1760058300,0.24989,0.24998,0.24963,0.24977
1760058360,0.24977,0.2499,0.24969,0.24969
1760058420,0.24969,0.24969,0.24921,0.24938
1760058480,0.24938,0.24962,0.24933,0.24934
1760058540,0.24934,0.24946,0.24932,0.24943
1760058600,0.24943,0.2497,0.24942,0.24956
1760058660,0.24956,0.24979,0.24953,0.24957
1760058720,0.24957,0.2498,0.24953,0.24953
1760058780,0.24953,0.24967,0.24947,0.24963
1760058840,0.24963,0.24967,0.24953,0.24954
1760058900,0.24954,0.24957,0.24931,0.24933
1760058960,0.24933,0.24955,0.24933,0.24935
1760059020,0.24935,0.24952,0.24925,0.24927
1760059080,0.24927,0.24935,0.2492,0.2492
1760059140,0.2492,0.24936,0.24905,0.24931
1760059200,0.24931,0.24959,0.24931,0.24955
1760059260,0.24955,0.24963,0.24929,0.24946
1760059320,0.24946,0.2496,0.24931,0.24931
1760059380,0.24931,0.24939,0.24916,0.24917
1760059440,0.24917,0.24948,0.24908,0.24942
1760059500,0.24942,0.2495,0.24935,0.24945
1760059560,0.24945,0.24946,0.24923,0.24923
1760059620,0.24923,0.24927,0.24909,0.24917
1760059680,0.24917,0.24943,0.24917,0.24942
1760059740,0.24942,0.24965,0.24942,0.24965
1760059800,0.24965,0.24968,0.24943,0.24945
1760059860,0.24945,0.24948,0.24924,0.24928
1760059920,0.24928,0.24946,0.24897,0.24902
1760059980,0.24902,0.24936,0.24902,0.24929
1760060040,0.24929,0.24953,0.24923,0.24929
1760060100,0.24929,0.24929,0.24885,0.24885
1760060160,0.24885,0.24901,0.24867,0.24887
1760060220,0.24887,0.24891,0.24866,0.24868
1760060280,0.24868,0.24874,0.24859,0.24859
1760060340,0.24859,0.24877,0.24852,0.24852
1760060400,0.24852,0.24854,0.24821,0.24827
1760060460,0.24827,0.24839,0.24814,0.24839
1760060520,0.24839,0.24861,0.24827,0.24858
1760060580,0.24858,0.24861,0.24846,0.2486
1760060640,0.2486,0.24861,0.24839,0.24851
1760060700,0.24851,0.24851,0.24833,0.2484
1760060760,0.2484,0.24858,0.24834,0.2484
1760060820,0.2484,0.24848,0.24829,0.24841
1760060880,0.24841,0.24842,0.24812,0.24815
1760060940,0.24815,0.24841,0.24815,0.24829
1760061000,0.24829,0.24832,0.2481,0.24814
1760061060,0.24814,0.24853,0.24813,0.24853
1760061120,0.24853,0.24888,0.24853,0.24879
1760061180,0.24879,0.24889,0.24864,0.24864
1760061240,0.24864,0.2487,0.24854,0.24859
1760061300,0.24859,0.24872,0.24849,0.24849
1760061360,0.24849,0.2486,0.24848,0.24859
1760061420,0.24859,0.24859,0.24843,0.24851
1760061480,0.24851,0.24872,0.2485,0.24862
1760061540,0.24862,0.24876,0.24858,0.24863
1760061600,0.24863,0.24871,0.24841,0.24846
1760061660,0.24846,0.24864,0.24841,0.24842
1760061720,0.24842,0.24842,0.24807,0.2481
1760061780,0.2481,0.24837,0.24805,0.24815
1760061840,0.24815,0.24832,0.24799,0.248
1760061900,0.248,0.24809,0.24781,0.24786
1760061960,0.24786,0.24786,0.24763,0.24775
1760062020,0.24775,0.24781,0.24731,0.24734
1760062080,0.24734,0.24751,0.24728,0.24731
1760062140,0.24731,0.24778,0.24725,0.24777
1760062200,0.24777,0.24782,0.2476,0.24774
1760062260,0.24774,0.24794,0.24774,0.24794
1760062320,0.24794,0.24798,0.24782,0.24788
1760062380,0.24788,0.24814,0.24787,0.2481
1760062440,0.2481,0.24815,0.24808,0.24812
1760062500,0.24812,0.24825,0.24801,0.24819
1760062560,0.24819,0.24845,0.24806,0.24841
1760062620,0.24841,0.24848,0.24813,0.24837
1760062680,0.24837,0.24855,0.24837,0.24855
1760062740,0.24855,0.24913,0.24854,0.24906
1760062800,0.24906,0.2495,0.24906,0.24947
1760062860,0.24947,0.24984,0.24945,0.2498
1760062920,0.2498,0.24996,0.24965,0.24972
1760062980,0.24972,0.2498,0.2496,0.2498
1760063040,0.2498,0.2498,0.24936,0.24947
1760063100,0.24947,0.2495,0.24933,0.24939
1760063160,0.24939,0.24939,0.24914,0.24914
1760063220,0.24914,0.24921,0.24895,0.24908
1760063280,0.24908,0.24908,0.24895,0.24903
1760063340,0.24903,0.24905,0.24891,0.24891
1760063400,0.24891,0.2491,0.24888,0.24891
1760063460,0.24891,0.24891,0.24863,0.24866
1760063520,0.24866,0.24873,0.24837,0.24846
1760063580,0.24846,0.2485,0.24833,0.24839
1760063640,0.24839,0.24844,0.24828,0.24829
1760063700,0.24829,0.24843,0.24826,0.24833
1760063760,0.24833,0.2484,0.2483,0.24839
1760063820,0.24839,0.2485,0.24838,0.24846
1760063880,0.24846,0.24855,0.24836,0.24855
1760063940,0.24855,0.24885,0.24854,0.24873
1760064000,0.24873,0.24881,0.24867,0.24881
1760064060,0.24881,0.24896,0.24881,0.24887
1760064120,0.24887,0.24913,0.24887,0.24904
1760064180,0.24904,0.24905,0.24867,0.24869
1760064240,0.24869,0.2491,0.24867,0.24896
1760064300,0.24896,0.24901,0.24871,0.24873
1760064360,0.24873,0.24873,0.24836,0.24841
1760064420,0.24841,0.24862,0.24833,0.24853
1760064480,0.24853,0.24898,0.24849,0.24895
1760064540,0.24895,0.24904,0.24883,0.24897
1760064600,0.24897,0.24915,0.24878,0.24898
1760064660,0.24898,0.24901,0.24854,0.24854
1760064720,0.24854,0.24872,0.24835,0.24835
1760064780,0.24835,0.24846,0.24813,0.24839
1760064840,0.24839,0.24866,0.24822,0.24866
1760064900,0.24866,0.24887,0.24866,0.24879
1760064960,0.24879,0.24884,0.24846,0.24852
1760065020,0.24852,0.24858,0.24849,0.24854
1760065080,0.24854,0.24854,0.2484,0.24849
1760065140,0.24849,0.24852,0.2484,0.24852
1760065200,0.24852,0.24866,0.2485,0.24859
1760065260,0.24859,0.24877,0.24834,0.24835
1760065320,0.24835,0.24835,0.24804,0.24805
1760065380,0.24805,0.24806,0.24784,0.24784
1760065440,0.24784,0.2479,0.24736,0.24746
1760065500,0.24746,0.24767,0.2472,0.24767
1760065560,0.24767,0.24782,0.24759,0.2477
1760065620,0.2477,0.2477,0.24752,0.2476
1760065680,0.2476,0.24761,0.24729,0.24749
1760065740,0.24749,0.24753,0.24741,0.24749
1760065800,0.24749,0.24764,0.24738,0.24755
1760065860,0.24755,0.24774,0.24741,0.24774
1760065920,0.24774,0.24803,0.24768,0.24799
1760065980,0.24799,0.2482,0.24779,0.24807
1760066040,0.24807,0.24836,0.24793,0.24835
1760066100,0.24835,0.24854,0.24826,0.24841
1760066160,0.24841,0.24846,0.24804,0.24818
1760066220,0.24818,0.24839,0.24818,0.24837
1760066280,0.24837,0.24862,0.24836,0.24855
1760066340,0.24855,0.24895,0.24844,0.24893
1760066400,0.24893,0.24963,0.24893,0.24957
1760066460,0.24957,0.24989,0.24951,0.24988
1760066520,0.24988,0.24999,0.24955,0.24956
1760066580,0.24956,0.25004,0.24951,0.25
1760066640,0.25,0.2501,0.24954,0.2501
1760066700,0.2501,0.25048,0.25009,0.25045
1760066760,0.25045,0.25078,0.25025,0.25035
1760066820,0.25035,0.2507,0.25014,0.25067
1760066880,0.25067,0.25135,0.25057,0.25103
1760066940,0.25103,0.25156,0.25103,0.25147
1760067000,0.25147,0.25237,0.25147,0.25206
1760067060,0.25206,0.25228,0.25182,0.25227
1760067120,0.25227,0.25238,0.2515,0.2516
1760067180,0.2516,0.25215,0.25159,0.25177
1760067240,0.25177,0.2523,0.25176,0.2522
1760067300,0.2522,0.25251,0.2522,0.25232
1760067360,0.25232,0.25239,0.25217,0.25223
1760067420,0.25223,0.25269,0.25206,0.25238
1760067480,0.25238,0.2525,0.25221,0.25234
1760067540,0.25234,0.25269,0.25222,0.25262
1760067600,0.25262,0.25262,0.25225,0.25229
1760067660,0.25229,0.25238,0.25208,0.25228
1760067720,0.25228,0.25262,0.25225,0.25251
1760067780,0.25251,0.25263,0.2524,0.25242
1760067840,0.25242,0.25263,0.25238,0.25251
1760067900,0.25251,0.25287,0.25251,0.25282
1760067960,0.25282,0.25295,0.25261,0.25286
1760068020,0.25286,0.2533,0.25286,0.25317
1760068080,0.25317,0.25323,0.25281,0.25308
1760068140,0.25308,0.25308,0.25268,0.25269
1760068200,0.25269,0.25273,0.25224,0.2523
1760068260,0.2523,0.25233,0.25196,0.25203
1760068320,0.25203,0.2522,0.25184,0.25207
1760068380,0.25207,0.25226,0.25179,0.25194
1760068440,0.25194,0.25198,0.25151,0.25154
1760068500,0.25154,0.25156,0.251,0.25118
1760068560,0.25118,0.25139,0.25105,0.2513
1760068620,0.2513,0.25146,0.25108,0.25146
1760068680,0.25146,0.25176,0.25144,0.25162
1760068740,0.25162,0.25162,0.25115,0.25118
1760068800,0.25118,0.25195,0.25112,0.2516
1760068860,0.2516,0.25207,0.2516,0.25199
1760068920,0.25199,0.25199,0.25132,0.25173
1760068980,0.25173,0.25193,0.25156,0.2517
1760069040,0.2517,0.25178,0.25156,0.25156
1760069100,0.25156,0.2522,0.25156,0.25209
1760069160,0.25209,0.25254,0.25201,0.25253
1760069220,0.25253,0.25287,0.25252,0.25262
1760069280,0.25262,0.25286,0.25238,0.25238
1760069340,0.25238,0.25255,0.25199,0.25199
1760069400,0.25199,0.252,0.25164,0.25184
1760069460,0.25184,0.25207,0.25175,0.25199
1760069520,0.25199,0.25218,0.25192,0.252
1760069580,0.252,0.25222,0.25185,0.25205
1760069640,0.25205,0.25219,0.25188,0.2519
1760069700,0.2519,0.25201,0.25185,0.25195
1760069760,0.25195,0.252,0.25163,0.25164
1760069820,0.25164,0.25194,0.25161,0.25178
1760069880,0.25178,0.25178,0.25152,0.25152
1760069940,0.25152,0.25156,0.25106,0.25112
1760070000,0.25112,0.25147,0.25102,0.25145
1760070060,0.25145,0.25148,0.25124,0.25124
1760070120,0.25124,0.25163,0.25124,0.25144
1760070180,0.25144,0.25144,0.2511,0.25115
1760070240,0.25115,0.25135,0.25102,0.25102
1760070300,0.25102,0.25108,0.25084,0.25097
1760070360,0.25097,0.25105,0.25087,0.25095
1760070420,0.25095,0.25112,0.25077,0.25098
1760070480,0.25098,0.25125,0.25098,0.25116
1760070540,0.25116,0.25146,0.25116,0.25134
1760070600,0.25134,0.25146,0.25126,0.25137
1760070660,0.25137,0.25186,0.25126,0.25182
1760070720,0.25182,0.25199,0.2517,0.2518
1760070780,0.2518,0.25185,0.25098,0.25099
1760070840,0.25099,0.25108,0.25077,0.25103
1760070900,0.25103,0.25103,0.2506,0.25068
1760070960,0.25068,0.25069,0.25038,0.25049
1760071020,0.25049,0.25066,0.25039,0.2506
1760071080,0.2506,0.25069,0.25039,0.25039
1760071140,0.25039,0.25066,0.25029,0.25062
1760071200,0.25062,0.2508,0.25048,0.2508
1760071260,0.2508,0.25086,0.25049,0.25049
1760071320,0.25049,0.25053,0.25035,0.25045
1760071380,0.25045,0.25069,0.25045,0.25052
1760071440,0.25052,0.25067,0.25045,0.25067
1760071500,0.25067,0.25068,0.25033,0.25043
1760071560,0.25043,0.25073,0.25039,0.25046
1760071620,0.25046,0.25067,0.25046,0.25048
1760071680,0.25048,0.25052,0.25029,0.25046
1760071740,0.25046,0.25071,0.25044,0.25063
1760071800,0.25063,0.25063,0.25041,0.25051
1760071860,0.25051,0.25068,0.25051,0.2506
1760071920,0.2506,0.25072,0.25057,0.25071
1760071980,0.25071,0.25105,0.25071,0.25097
1760072040,0.25097,0.25106,0.25092,0.25103
1760072100,0.25103,0.25109,0.25077,0.25078
1760072160,0.25078,0.25094,0.25075,0.25084
1760072220,0.25084,0.2512,0.25079,0.2511
1760072280,0.2511,0.25116,0.25095,0.25108
1760072340,0.25108,0.25113,0.25104,0.25112
1760072400,0.25112,0.25124,0.251,0.25102
1760072460,0.25102,0.25114,0.25086,0.2509
1760072520,0.2509,0.2509,0.25058,0.25071
1760072580,0.25071,0.25072,0.25037,0.25037
1760072640,0.25037,0.25037,0.24944,0.24963
1760072700,0.24963,0.24963,0.2488,0.2492
1760072760,0.2492,0.2492,0.2485,0.24918
1760072820,0.24918,0.24939,0.24888,0.24937
1760072880,0.24937,0.2494,0.249,0.24914
1760072940,0.24914,0.24925,0.2489,0.24917
1760073000,0.24917,0.24919,0.24896,0.24904
1760073060,0.24904,0.24918,0.24889,0.24896
1760073120,0.24896,0.24917,0.24894,0.24903
1760073180,0.24903,0.24929,0.24903,0.24917
1760073240,0.24917,0.24922,0.24891,0.24891
1760073300,0.24891,0.2493,0.2488,0.24924
1760073360,0.24924,0.2494,0.24903,0.24903
1760073420,0.24903,0.24944,0.24903,0.24941
1760073480,0.24941,0.24953,0.24935,0.24946
1760073540,0.24946,0.24947,0.24904,0.24917
1760073600,0.24917,0.24948,0.24911,0.24948
1760073660,0.24948,0.24975,0.24946,0.24958
1760073720,0.24958,0.24963,0.24947,0.24958
1760073780,0.24958,0.25006,0.24958,0.25005
1760073840,0.25005,0.25019,0.2497,0.25019
1760073900,0.25019,0.25031,0.25007,0.25019
1760073960,0.25019,0.25047,0.25005,0.25008
1760074020,0.25008,0.2502,0.24987,0.2501
1760074080,0.2501,0.25013,0.24989,0.24994
1760074140,0.24994,0.25013,0.24994,0.25004
1760074200,0.25004,0.25007,0.24975,0.24977
1760074260,0.24977,0.24995,0.24961,0.24982
1760074320,0.24982,0.24987,0.24927,0.24927
1760074380,0.24927,0.24967,0.24917,0.24958
1760074440,0.24958,0.24967,0.24942,0.24942
1760074500,0.24942,0.24954,0.2493,0.24945
1760074560,0.24945,0.24952,0.24925,0.2495
1760074620,0.2495,0.24963,0.24944,0.24958
1760074680,0.24958,0.24969,0.24954,0.24961
1760074740,0.24961,0.24982,0.24959,0.2498
1760074800,0.2498,0.25026,0.24977,0.25025
1760074860,0.25025,0.25056,0.25023,0.25053
1760074920,0.25053,0.25057,0.25042,0.25045
1760074980,0.25045,0.25073,0.25045,0.25069
1760075040,0.25069,0.25093,0.2506,0.25079
1760075100,0.25079,0.25119,0.25078,0.25114
1760075160,0.25114,0.25183,0.25114,0.25155
1760075220,0.25155,0.25179,0.25134,0.25137
1760075280,0.25137,0.25177,0.25132,0.25173
1760075340,0.25173,0.25178,0.25154,0.25161
1760075400,0.25161,0.2519,0.25161,0.25184
1760075460,0.25184,0.25195,0.25161,0.25176
1760075520,0.25176,0.25184,0.25159,0.25182
1760075580,0.25182,0.25198,0.25178,0.25194
1760075640,0.25194,0.25238,0.2519,0.25234
1760075700,0.25234,0.25237,0.25193,0.25193
1760075760,0.25193,0.25205,0.25184,0.25198
1760075820,0.25198,0.25199,0.25183,0.2519
1760075880,0.2519,0.2519,0.25171,0.25177
1760075940,0.25177,0.25199,0.25176,0.25192
1760076000,0.25192,0.25235,0.25185,0.25225
1760076060,0.25225,0.25225,0.25181,0.25183
1760076120,0.25183,0.25239,0.25179,0.25226
1760076180,0.25226,0.25234,0.25201,0.25233
1760076240,0.25233,0.25254,0.25219,0.25246
1760076300,0.25246,0.25278,0.25243,0.25265
1760076360,0.25265,0.25269,0.25227,0.25227
1760076420,0.25227,0.2524,0.25224,0.25227
1760076480,0.25227,0.25227,0.25194,0.2521
1760076540,0.2521,0.25222,0.25172,0.25175
1760076600,0.25175,0.25195,0.25154,0.2516
1760076660,0.2516,0.2516,0.25128,0.25144
1760076720,0.25144,0.25171,0.25133,0.25145
1760076780,0.25145,0.25162,0.2514,0.25142
1760076840,0.25142,0.25158,0.25135,0.25146
1760076900,0.25146,0.25226,0.25146,0.25196
1760076960,0.25196,0.25203,0.25147,0.25158
1760077020,0.25158,0.25179,0.25152,0.25152
1760077080,0.25152,0.25175,0.25148,0.25168
