ts,open,high,low,close
1760054400,4367.14,4368.85,4364.57,4365.83
1760054460,4365.83,4368,4364.3,4367.61
1760054520,4367.61,4371.31,4367.61,4370.88
1760054580,4370.88,4371.74,4369.81,4370.54
1760054640,4370.54,4372.1,4367.8,4369.17
1760054700,4369.17,4369.86,4366.99,4367.24
1760054760,4367.24,4368.63,4365.46,4366.98
1760054820,4366.98,4366.98,4361.46,4361.78
1760054880,4361.78,4366.14,4361.78,4366.14
1760054940,4366.14,4369.52,4365.81,4369.06
1760055000,4369.06,4369.53,4366.45,4366.45
1760055060,4366.45,4367.59,4364.66,4364.66
1760055120,4364.66,4365.29,4363.26,4363.26
1760055180,4363.26,4366.6,4363.25,4366.1
1760055240,4366.1,4366.1,4363.84,4365.86
1760055300,4365.86,4369.52,4365.86,4367.3
1760055360,4367.3,4368.83,4366.7,4368.82
1760055420,4368.82,4375.92,4368.82,4373.99
1760055480,4373.99,4376.92,4373.22,4376.32
1760055540,4376.32,4376.32,4372.92,4374.56
1760055600,4374.56,4374.56,4372.97,4373.14
1760055660,4373.14,4375.58,4372.77,4374.09
1760055720,4374.09,4374.39,4371.29,4371.73
1760055780,4371.73,4372.84,4370.81,4372.84
1760055840,4372.84,4374.57,4372.66,4374.48
1760055900,4374.48,4375.53,4372.59,4375.53
1760055960,4375.53,4379.54,4375.53,4378.12
1760056020,4378.12,4380.72,4378.1,4380.44
1760056080,4380.44,4381.48,4379.42,4381.47
1760056140,4381.47,4384,4379.52,4382.01
1760056200,4382.01,4382.86,4379,4379.05
1760056260,4379.05,4380.49,4377.34,4377.34
1760056320,4377.34,4378.4,4375.6,4376.61
1760056380,4376.61,4379.6,4376.6,4379.59
1760056440,4379.59,4379.59,4376.94,4377.2
1760056500,4377.2,4378.55,4376.33,4376.34
1760056560,4376.34,4378.18,4376.05,4376.05
1760056620,4376.05,4377.63,4375.21,4375.41
1760056680,4375.41,4380,4375.01,4380
1760056740,4380,4383,4380,4382.35
1760056800,4382.35,4382.35,4378.32,4378.4
1760056860,4378.4,4381.1,4378.29,4379.94
1760056920,4379.94,4379.94,4374.22,4375.25
1760056980,4375.25,4376.6,4374.23,4375.58
1760057040,4375.58,4376.97,4374.8,4376.63
1760057100,4376.63,4376.63,4374.57,4374.59
1760057160,4374.59,4374.59,4371.93,4372.15
1760057220,4372.15,4372.98,4371.76,4372.4
1760057280,4372.4,4373.5,4371.45,4372.7
1760057340,4372.7,4373,4371.1,4371.62
1760057400,4371.62,4375.2,4371.62,4375.19
1760057460,4375.19,4375.49,4374.05,4375.37
1760057520,4375.37,4376.1,4375.36,4375.94
1760057580,4375.94,4379.86,4375.94,4379.8
1760057640,4379.8,4380.97,4379.42,4380.8
