ts,open,high,low,close
1760054400,21.984,21.998,21.982,21.983
1760054460,21.983,21.998,21.975,21.987
1760054520,21.987,22,21.985,21.999
1760054580,21.999,22.01,21.999,21.999
1760054640,21.999,22.01,21.987,22
1760054700,22,22.001,21.973,21.973
1760054760,21.973,21.998,21.973,21.991
1760054820,21.991,21.999,21.97,21.973
1760054880,21.973,21.985,21.972,21.979
1760054940,21.979,21.994,21.976,21.993
1760055000,21.993,22.014,21.993,22.003
1760055060,22.003,22.01,22,22.005
1760055120,22.005,22.012,22.003,22.007
1760055180,22.007,22.045,22.007,22.045
1760055240,22.045,22.047,22.023,22.034
1760055300,22.034,22.054,22.029,22.037
1760055360,22.037,22.048,22.019,22.048
1760055420,22.048,22.101,22.045,22.089
1760055480,22.089,22.107,22.089,22.103
1760055540,22.103,22.114,22.101,22.103
1760055600,22.103,22.105,22.087,22.087
1760055660,22.087,22.101,22.084,22.093
1760055720,22.093,22.099,22.078,22.078
1760055780,22.078,22.08,22.061,22.08
1760055840,22.08,22.084,22.075,22.084
1760055900,22.084,22.084,22.057,22.078
1760055960,22.078,22.107,22.078,22.107
1760056020,22.107,22.128,22.107,22.127
1760056080,22.127,22.143,22.127,22.143
1760056140,22.143,22.149,22.135,22.139
1760056200,22.139,22.151,22.131,22.148
1760056260,22.148,22.155,22.134,22.138
1760056320,22.138,22.148,22.134,22.14
1760056380,22.14,22.155,22.14,22.155
1760056440,22.155,22.157,22.144,22.144
1760056500,22.144,22.145,22.096,22.097
1760056560,22.097,22.111,22.096,22.103
1760056620,22.103,22.114,22.097,22.102
1760056680,22.102,22.145,22.102,22.145
1760056740,22.145,22.169,22.145,22.165
1760056800,22.165,22.165,22.147,22.152
1760056860,22.152,22.171,22.152,22.165
1760056920,22.165,22.165,22.122,22.126
1760056980,22.126,22.131,22.123,22.123
1760057040,22.123,22.146,22.123,22.146
1760057100,22.146,22.147,22.122,22.122
1760057160,22.122,22.122,22.082,22.082
1760057220,22.082,22.09,22.074,22.086
1760057280,22.086,22.088,22.08,22.08
1760057340,22.08,22.084,22.067,22.081
1760057400,22.081,22.106,22.075,22.106
1760057460,22.106,22.121,22.098,22.121
1760057520,22.121,22.127,22.11,22.11
1760057580,22.11,22.155,22.11,22.155
1760057640,22.155,22.16,22.149,22.153
1760057700,22.153,22.169,22.153,22.157
1760057760,22.157,22.157,22.142,22.142
1760057820,22.142,22.142,22.117,22.117
1760057880,22.117,22.141,22.117,22.137
1760057940,22.137,22.142,22.131,22.142
1760058000,22.142,22.143,22.102,22.122
1760058060,22.122,22.151,22.122,22.151
1760058120,22.151,22.164,22.145,22.159
1760058180,22.159,22.176,22.159,22.174
1760058240,22.174,22.187,22.166,22.187
1760058300,22.187,22.193,22.158,22.163
1760058360,22.163,22.17,22.133,22.133
1760058420,22.133,22.133,22.109,22.113
1760058480,22.113,22.119,22.096,22.101
1760058540,22.101,22.103,22.092,22.098
1760058600,22.098,22.12,22.098,22.111
1760058660,22.111,22.127,22.111,22.117
1760058720,22.117,22.132,22.117,22.119
1760058780,22.119,22.129,22.119,22.122
1760058840,22.122,22.132,22.122,22.128
1760058900,22.128,22.128,22.1,22.105
1760058960,22.105,22.118,22.105,22.109
1760059020,22.109,22.119,22.109,22.112
1760059080,22.112,22.122,22.112,22.112
1760059140,22.112,22.121,22.101,22.118
1760059200,22.118,22.132,22.118,22.13
1760059260,22.13,22.13,22.107,22.109
1760059320,22.109,22.122,22.105,22.105
1760059380,22.105,22.108,22.101,22.101
1760059440,22.101,22.111,22.096,22.105
1760059500,22.105,22.119,22.104,22.106
1760059560,22.106,22.115,22.103,22.103
1760059620,22.103,22.107,22.092,22.098
1760059680,22.098,22.121,22.098,22.115
1760059740,22.115,22.126,22.115,22.122
1760059800,22.122,22.132,22.119,22.123
1760059860,22.123,22.123,22.104,22.104
1760059920,22.104,22.106,22.093,22.095
1760059980,22.095,22.111,22.095,22.108
