ts,open,high,low,close
1760054400,220.84,220.89,220.75,220.77
1760054460,220.77,220.85,220.66,220.84
1760054520,220.84,221.15,220.84,221.09
1760054580,221.09,221.23,221.02,221.02
1760054640,221.02,221.25,220.85,221.15
1760054700,221.15,221.18,220.99,220.99
1760054760,220.99,221.2,220.96,221.18
1760054820,221.18,221.22,220.98,221.09
1760054880,221.09,221.39,221.05,221.37
1760054940,221.37,221.51,221.37,221.45
1760055000,221.45,221.53,221.39,221.42
1760055060,221.42,221.48,221.22,221.22
1760055120,221.22,221.27,221.17,221.27
1760055180,221.27,221.4,221.27,221.4
1760055240,221.4,221.4,221.27,221.39
1760055300,221.39,221.53,221.39,221.41
1760055360,221.41,221.46,221.37,221.43
1760055420,221.43,221.63,221.42,221.5
1760055480,221.5,221.6,221.47,221.59
1760055540,221.59,221.59,221.44,221.49
1760055600,221.49,221.56,221.24,221.24
1760055660,221.24,221.29,221.06,221.08
1760055720,221.08,221.17,220.98,220.98
1760055780,220.98,221.1,220.91,221.1
1760055840,221.1,221.28,221.07,221.27
1760055900,221.27,221.3,221.14,221.3
1760055960,221.3,221.56,221.3,221.54
1760056020,221.54,221.62,221.52,221.61
1760056080,221.61,221.75,221.56,221.75
1760056140,221.75,221.81,221.71,221.74
1760056200,221.74,221.87,221.63,221.65
1760056260,221.65,221.65,221.4,221.46
1760056320,221.46,221.48,221.32,221.42
1760056380,221.42,221.68,221.41,221.62
1760056440,221.62,221.62,221.49,221.51
1760056500,221.51,221.54,221.39,221.39
1760056560,221.39,221.56,221.39,221.44
1760056620,221.44,221.52,221.41,221.43
1760056680,221.43,221.72,221.43,221.68
1760056740,221.68,221.92,221.68,221.92
1760056800,221.92,221.92,221.7,221.75
1760056860,221.75,221.82,221.7,221.81
1760056920,221.81,221.81,221.28,221.39
1760056980,221.39,221.4,221.23,221.24
1760057040,221.24,221.32,221.23,221.3
1760057100,221.3,221.3,221.14,221.14
1760057160,221.14,221.15,221.01,221.01
1760057220,221.01,221.04,220.81,220.9
1760057280,220.9,221.04,220.86,220.95
1760057340,220.95,220.96,220.82,220.9
1760057400,220.9,221.06,220.87,221.02
1760057460,221.02,221.06,220.95,221.06
1760057520,221.06,221.14,221.01,221.05
1760057580,221.05,221.37,221.05,221.37
1760057640,221.37,221.37,221.18,221.23
1760057700,221.23,221.3,221.17,221.18
1760057760,221.18,221.18,221.06,221.07
1760057820,221.07,221.07,221.02,221.03
1760057880,221.03,221.23,221.02,221.14
1760057940,221.14,221.15,221.06,221.12
1760058000,221.12,221.23,220.99,221.18
1760058060,221.18,221.62,221.18,221.62
1760058120,221.62,221.62,221.47,221.49
1760058180,221.49,221.77,221.49,221.77
1760058240,221.77,221.93,221.68,221.93
1760058300,221.93,221.98,221.67,221.76
1760058360,221.76,221.85,221.62,221.62
1760058420,221.62,221.62,221.36,221.4
1760058480,221.4,221.52,221.38,221.41
1760058540,221.41,221.45,221.21,221.35
1760058600,221.35,221.6,221.34,221.49
1760058660,221.49,221.67,221.49,221.64
1760058720,221.64,221.92,221.64,221.8
1760058780,221.8,221.96,221.75,221.95
1760058840,221.95,221.96,221.9,221.91
1760058900,221.91,221.91,221.68,221.72
1760058960,221.72,221.82,221.71,221.72
1760059020,221.72,221.78,221.69,221.73
1760059080,221.73,221.76,221.7,221.7
1760059140,221.7,221.74,221.55,221.71
1760059200,221.71,221.84,221.71,221.78
1760059260,221.78,221.78,221.63,221.69
1760059320,221.69,221.82,221.6,221.61
1760059380,221.61,221.66,221.55,221.57
1760059440,221.57,221.7,221.54,221.69
1760059500,221.69,221.85,221.69,221.78
1760059560,221.78,221.81,221.58,221.59
1760059620,221.59,221.62,221.57,221.6
1760059680,221.6,221.84,221.6,221.81
1760059740,221.81,221.95,221.81,221.95
1760059800,221.95,221.99,221.92,221.94
1760059860,221.94,221.96,221.7,221.71
1760059920,221.71,221.77,221.59,221.63
1760059980,221.63,221.7,221.62,221.7
1760060040,221.7,221.89,221.7,221.73
1760060100,221.73,221.73,221.45,221.45
1760060160,221.45,221.52,221.32,221.34
1760060220,221.34,221.36,221.25,221.25
1760060280,221.25,221.28,221.01,221.02
1760060340,221.02,221.27,220.91,221.02
1760060400,221.02,221.02,220.82,220.89
1760060460,220.89,220.92,220.74,220.84
1760060520,220.84,221.01,220.73,220.99
1760060580,220.99,220.99,220.91,220.99
1760060640,220.99,220.99,220.76,220.9
1760060700,220.9,220.9,220.76,220.85
1760060760,220.85,220.95,220.81,220.88
1760060820,220.88,220.97,220.87,220.91
1760060880,220.91,220.91,220.81,220.84
1760060940,220.84,220.99,220.77,220.79
1760061000,220.79,220.81,220.41,220.48
1760061060,220.48,220.74,220.42,220.73
1760061120,220.73,221.1,220.73,221.04
1760061180,221.04,221.13,220.82,220.84
1760061240,220.84,220.86,220.75,220.83
1760061300,220.83,220.97,220.77,220.8
1760061360,220.8,220.88,220.77,220.85
1760061420,220.85,220.86,220.77,220.81
1760061480,220.81,220.94,220.79,220.79
1760061540,220.79,220.93,220.7,220.88
1760061600,220.88,220.97,220.72,220.79
1760061660,220.79,220.91,220.72,220.79
1760061720,220.79,220.79,220.46,220.52
1760061780,220.52,220.63,220.43,220.52
1760061840,220.52,220.63,220.21,220.29
1760061900,220.29,220.51,220.29,220.45
1760061960,220.45,220.53,220.4,220.53
1760062020,220.53,220.57,220.3,220.3
1760062080,220.3,220.4,220.24,220.24
1760062140,220.24,220.66,220.24,220.65
1760062200,220.65,220.71,220.51,220.56
1760062260,220.56,220.71,220.55,220.71
1760062320,220.71,220.72,220.44,220.45
1760062380,220.45,220.71,220.45,220.63
1760062440,220.63,220.69,220.63,220.69
1760062500,220.69,220.91,220.65,220.91
1760062560,220.91,221.23,220.87,221.21
1760062620,221.21,221.33,221.06,221.23
1760062680,221.23,221.37,221.23,221.37
1760062740,221.37,221.78,221.36,221.75
1760062800,221.75,221.78,221.41,221.58
1760062860,221.58,221.7,221.56,221.56
1760062920,221.56,221.61,221.51,221.59
1760062980,221.59,221.69,221.58,221.69
1760063040,221.69,221.71,221.43,221.48
1760063100,221.48,221.5,221.3,221.33
1760063160,221.33,221.36,221.16,221.21
1760063220,221.21,221.23,221.02,221.2
1760063280,221.2,221.2,221.02,221.05
1760063340,221.05,221.06,221.05,221.05
1760063400,221.05,221.19,221,221
1760063460,221,221.01,220.73,220.74
1760063520,220.74,220.77,220.31,220.38
1760063580,220.38,220.4,220.31,220.37
1760063640,220.37,220.43,220.31,220.37
1760063700,220.37,220.5,220.32,220.43
1760063760,220.43,220.43,220.33,220.38
1760063820,220.38,220.46,220.33,220.43
1760063880,220.43,220.55,220.35,220.55
1760063940,220.55,220.77,220.55,220.72
1760064000,220.72,220.78,220.64,220.72
1760064060,220.72,220.72,220.63,220.65
1760064120,220.65,220.87,220.65,220.73
1760064180,220.73,220.82,220.54,220.59
1760064240,220.59,220.68,220.5,220.55
1760064300,220.55,220.61,220.55,220.58
1760064360,220.58,220.58,220.22,220.27
1760064420,220.27,220.36,220.22,220.33
1760064480,220.33,220.58,220.31,220.52
1760064540,220.52,220.52,220.37,220.41
1760064600,220.41,220.52,220.29,220.46
1760064660,220.46,220.5,220.15,220.23
1760064720,220.23,220.32,219.85,219.91
1760064780,219.91,220.07,219.75,220.04
1760064840,220.04,220.21,219.9,220.21
1760064900,220.21,220.44,220.17,220.32
1760064960,220.32,220.46,220.11,220.18
1760065020,220.18,220.24,220.11,220.2
1760065080,220.2,220.26,220.17,220.25
1760065140,220.25,220.27,220.22,220.26
1760065200,220.26,220.45,220.26,220.33
1760065260,220.33,220.41,220.13,220.13
1760065320,220.13,220.13,219.89,219.91
1760065380,219.91,219.93,219.64,219.7
1760065440,219.7,219.74,219.38,219.51
1760065500,219.51,219.85,219.41,219.85
1760065560,219.85,220.01,219.79,219.88
1760065620,219.88,219.91,219.67,219.78
1760065680,219.78,219.82,219.66,219.72
1760065740,219.72,219.79,219.7,219.79
1760065800,219.79,219.88,219.68,219.74
1760065860,219.74,219.82,219.59,219.82
1760065920,219.82,220.01,219.82,220.01
1760065980,220.01,220.01,219.79,219.8
1760066040,219.8,219.88,219.64,219.88
1760066100,219.88,220.15,219.88,219.95
1760066160,219.95,219.98,219.77,219.9
1760066220,219.9,220.08,219.9,220.08
1760066280,220.08,220.21,220.04,220.2
1760066340,220.2,220.44,220.13,220.43
1760066400,220.43,221.07,220.43,220.91
1760066460,220.91,221.17,220.89,221.15
1760066520,221.15,221.25,220.9,220.92
1760066580,220.92,221,220.88,220.88
1760066640,220.88,221.21,220.72,221.21
1760066700,221.21,221.25,221.15,221.19
1760066760,221.19,221.46,220.96,220.97
1760066820,220.97,221.21,220.88,221.13
1760066880,221.13,221.53,221.04,221.33
1760066940,221.33,221.61,221.33,221.58
1760067000,221.58,222,221.57,221.86
1760067060,221.86,222.33,221.84,222.33
1760067120,222.33,222.35,221.84,221.89
1760067180,221.89,222.21,221.89,221.99
1760067240,221.99,222.42,221.99,222.2
1760067300,222.2,222.55,222.2,222.3
1760067360,222.3,222.51,222.19,222.45
1760067420,222.45,222.63,222.35,222.47
1760067480,222.47,222.53,222.26,222.32
1760067540,222.32,222.4,222.2,222.3
1760067600,222.3,222.3,222.03,222.21
1760067660,222.21,222.28,222.13,222.27
1760067720,222.27,222.45,222.17,222.24
1760067780,222.24,222.34,222.2,222.26
1760067840,222.26,222.48,222.19,222.44
1760067900,222.44,222.74,222.44,222.63
1760067960,222.63,222.75,222.51,222.69
1760068020,222.69,222.8,222.65,222.7
1760068080,222.7,222.71,222.35,222.48
1760068140,222.48,222.49,222.27,222.31
1760068200,222.31,222.31,222.06,222.12
1760068260,222.12,222.14,221.84,221.94
